=== Categories ===
category_id,category_name
1,Canned Goods
2,Dairy
3,Beverages
4,Vegetables
5,Seafood
6,Bakery
7,Seafood
8,Meat
9,Seafood
10,Meat
11,Snacks
12,Fruits
13,Vegetables
14,Canned Goods
15,Seafood
16,Frozen Foods
17,Beverages
18,Snacks
19,Canned Goods
20,Bakery
21,Vegetables
22,Fruits
23,Beverages
24,Beverages
25,Bakery
26,Beverages
27,Bakery
28,Seafood
29,Snacks
30,Snacks
31,Meat
32,Frozen Foods
33,Bakery
34,Meat
35,Fruits
36,Meat
37,Snacks
38,Seafood
39,Fruits
40,Snacks
41,Dairy
42,Canned Goods
43,Bakery
44,Snacks
45,Bakery
46,Canned Goods
47,Fruits
48,Beverages
49,Seafood
50,Frozen Foods
51,Meat
52,Canned Goods
53,Beverages
54,Bakery
55,Frozen Foods
56,Snacks
57,Seafood
58,Snacks
59,Beverages
60,Fruits
61,Seafood
62,Frozen Foods
63,Snacks
64,Seafood
65,Frozen Foods
66,Vegetables
67,Bakery
68,Meat
69,Seafood
70,Frozen Foods
71,Beverages
72,Bakery
73,Fruits
74,Fruits
75,Dairy
76,Beverages
77,Frozen Foods
78,Fruits
79,Beverages
80,Fruits
81,Fruits
82,Canned Goods
83,Bakery
84,Dairy
85,Fruits
86,Vegetables
87,Vegetables
88,Seafood
89,Snacks
90,Frozen Foods
91,Vegetables
92,Dairy
93,Bakery
94,Bakery
95,Frozen Foods
96,Vegetables
97,Fruits
98,Frozen Foods
99,Vegetables
100,Dairy

=== Distribution_Centers ===
dc_id,dc_name,region
1,DC Kyiv,North
2,DC DC1,East
3,DC Kharkiv,North
4,DC Lviv,South
5,DC Kyiv,East
6,DC Lviv,West
7,DC Kyiv,East
8,DC DC1,North
9,DC Kharkiv,West
10,DC DC1,West
11,DC DC2,East
12,DC Kyiv,South
13,DC Kharkiv,West
14,DC Lviv,East
15,DC Kharkiv,East
16,DC Dnipro,West
17,DC Odesa,North
18,DC Odesa,East
19,DC Kharkiv,East
20,DC Odesa,North
21,DC Kharkiv,West
22,DC DC1,East
23,DC Odesa,East
24,DC Odesa,East
25,DC Kyiv,West
26,DC Odesa,East
27,DC Kharkiv,North
28,DC DC2,West
29,DC Odesa,South
30,DC Kharkiv,East
31,DC Odesa,West
32,DC Lviv,North
33,DC Kyiv,East
34,DC Dnipro,South
35,DC Kyiv,East
36,DC DC1,West
37,DC Kharkiv,South
38,DC DC1,East
39,DC Kharkiv,West
40,DC Lviv,East
41,DC DC1,North
42,DC DC2,South
43,DC Kyiv,North
44,DC DC2,North
45,DC Dnipro,North
46,DC Kyiv,North
47,DC DC1,East
48,DC Odesa,South
49,DC Dnipro,North
50,DC DC2,South
51,DC DC1,East
52,DC Kyiv,West
53,DC Lviv,West
54,DC Dnipro,South
55,DC Lviv,East
56,DC Lviv,East
57,DC Lviv,South
58,DC DC2,West
59,DC DC2,South
60,DC DC2,South
61,DC Dnipro,East
62,DC Kyiv,West
63,DC Kyiv,East
64,DC DC1,South
65,DC Odesa,East
66,DC Odesa,North
67,DC Kyiv,North
68,DC Kharkiv,East
69,DC DC2,West
70,DC Odesa,West
71,DC Odesa,South
72,DC Lviv,North
73,DC Kyiv,North
74,DC Dnipro,North
75,DC DC2,North
76,DC Odesa,South
77,DC Dnipro,West
78,DC Odesa,West
79,DC Kharkiv,South
80,DC DC2,East
81,DC Kyiv,North
82,DC Odesa,West
83,DC Dnipro,West
84,DC Kyiv,South
85,DC Odesa,East
86,DC DC2,East
87,DC Lviv,East
88,DC Kyiv,South
89,DC Odesa,East
90,DC DC1,South
91,DC Kyiv,North
92,DC Dnipro,East
93,DC Lviv,South
94,DC Lviv,North
95,DC Dnipro,West
96,DC DC1,West
97,DC Kyiv,East
98,DC Odesa,North
99,DC DC2,West
100,DC Dnipro,North

=== SKU ===
sku_id,sku_name,category_id,base_price
SKU0001,Milk 1L,7,81.68
SKU0002,Bread White,9,66.06
SKU0003,Coke 2L,10,5.7
SKU0004,Beef Steak,1,88.55
SKU0005,Apple 1kg,9,65.05
SKU0006,Frozen Pizza,8,28.29
SKU0007,Chocolate Bar,2,29.44
SKU0008,Chicken 500g,2,89.42
SKU0009,Milk 1L,8,99.17
SKU0010,Frozen Pizza,2,42.69
SKU0011,Frozen Pizza,3,46.88
SKU0012,Frozen Pizza,3,5.7
SKU0013,Frozen Pizza,10,53.58
SKU0014,Coke 2L,4,47.44
SKU0015,Apple 1kg,2,35.03
SKU0016,Salmon Fillet,4,43.16
SKU0017,Chicken 500g,6,78.62
